NAME,CATEGORY,ADDRESS
Aca Video & Lasertech,Video Cassette Tapes-Sales and Rental,"Rizal Jaro, Iloilo City 5000 Iloilo "
Aca Video,Video Cassette Tapes-Sales and Rental,"129 Katipunan Avenue, Loyola Heights, Quezon City 1108 Metro Manila "
Acas Elektrik,Electric Supplies,"Honorama Building, 823 V. Rama Avenue, Guadalupe, Cebu City 6000 Cebu "
Acbel,Power Systems,"1000 Aurora Boulevard, Quezon City, Metro Manila "
Accent Lights And Accessories,Lighting Fixtures,"46-48 Granada Street Corner Gilmore Avenue Extension, Villa Ortigas II, Quezon City, Metro Manila "
Accent Lights And Accessories,Lighting Fixtures,"319 Santolan Road, Quezon City, Metro Manila "
Accent Micro Technologies,Electric Equipment - Service and Repairing,"Antel Global Corporation Center, 1408 Julia Vargas Avenue, Pasig City, Metro Manila "
Access Frontier Technologies,Communications Equipment,"Unit 702, Greenbelt Mansion, 106 Perea Street, Legaspi Village, Makati City 1229 Metro Manila "
Ace Engineering,Electric Equipment - Service and Repairing,"508-D Nicodemus Street, Tondo, City of Manila, Metro Manila "
Acer's Electrical,Electric Supplies,"38, Delgado Street, Iloilo City 5000  Iloilo "
ACLD Electrical and Lighting Supply,Lighting,"1297, M. Almeda Street, Sto Rosario Silangan, Pateros, Metro Manila "
Acme Electrical Manufacturing,Electric Supplies,"25 Oliveros Drive, Balintawak, Quezon City 1106 Metro Manila "
Acme Electrical Products Manufacturing,Electric Supplies,"873-883 Tenuan Street, Santa Cruz, City of Manila 1014 Metro Manila "
Acoustech Audio,Lighting Control System,"Nila Remedios , Calamba City 4027 Laguna "
"Acquatec, Incorporated",Water Purification Equipment,"149, Congressional Avenue, Project 8, Quezon City 1106 Metro Manila "
Acretech Airconditioning And Refrigeration Sales And Services,Electric Equipment - Service and Repairing,"121-C 10th Avenue, Rembo East, Makati City, Metro Manila "
Acrone Industries,Electric Equipment - Service and Repairing,"61 Malaya Street, Plainview, Mandaluyong City, Metro Manila "
ACEMCO,Electric Equipment - Service and Repairing,"201, Interior Gallery Building, 318, Alabang-Zapote Road, Talon 1, Las Pinas City 1747  Metro Manila "
Active Cool Airconditioning & Electrical Supply & Services,Air Conditioning Equipment and Systems,"National Highway, Calamba City 4027 Laguna "
"Ad Lib International Sales, Incorporated",Lighting,"Alabang Home Depot,  Alabang-Zapote Road, Muntinlupa City, Metro Manila "
"Ad Lib International Sales, Incorporated",Lighting,"Cw Home Depot,  Pres Diosdado Macapagal Boulevard, Pasay City, Metro Manila "
Ad Lib International Sales,Lighting,"CW Home Depot, 1 Julia Vargas Avenue corner Meralco Avenue, Barangay Ugong, Pasig City 1604 Metro Manila "
